,Unnamed: 0,time,lat,lon,spei
24465048,95573370,1931-09-16,40.25,105.25,-0.049972296
24531481,95832570,1931-10-16,40.25,105.25,0.25734848
24597909,96091770,1931-11-16,40.25,105.25,0.62790304
24664308,96350970,1931-12-16,40.25,105.25,1.0692378
24730616,96610170,1932-01-16,40.25,105.25,0.39432535
24796939,96869370,1932-02-15,40.25,105.25,1.0019507
24863218,97128570,1932-03-16,40.25,105.25,0.22099538
24929568,97387770,1932-04-16,40.25,105.25,0.17562787
24995997,97646970,1932-05-16,40.25,105.25,0.09105935
25062411,97906170,1932-06-16,40.25,105.25,0.02028818
25128839,98165370,1932-07-16,40.25,105.25,0.13626081
25195293,98424570,1932-08-16,40.25,105.25,0.112383455
25261728,98683770,1932-09-16,40.25,105.25,-0.07194652
25328153,98942970,1932-10-16,40.25,105.25,0.25734848
25394578,99202170,1932-11-16,40.25,105.25,0.47512898
25460980,99461370,1932-12-16,40.25,105.25,1.0692378
25527285,99720570,1933-01-16,40.25,105.25,0.7034109000000001
25593609,99979770,1933-02-15,40.25,105.25,0.32838735
25659898,100238970,1933-03-16,40.25,105.25,0.22099538
25726245,100498170,1933-04-16,40.25,105.25,0.31112593
25792674,100757370,1933-05-16,40.25,105.25,0.6768029000000001
25859082,101016570,1933-06-16,40.25,105.25,0.03619971
25925507,101275770,1933-07-16,40.25,105.25,0.86705637
25991962,101534970,1933-08-16,40.25,105.25,-0.2179415
26058400,101794170,1933-09-16,40.25,105.25,-0.254909
26124833,102053370,1933-10-16,40.25,105.25,0.28434354
26191257,102312570,1933-11-16,40.25,105.25,0.24083386
26257646,102571770,1933-12-16,40.25,105.25,0.019844448
26323950,102830970,1934-01-16,40.25,105.25,0.7034109000000001
26390274,103090170,1934-02-15,40.25,105.25,-0.31788698
26456566,103349370,1934-03-16,40.25,105.25,0.15943791
26522914,103608570,1934-04-16,40.25,105.25,0.0560793
26589338,103867770,1934-05-16,40.25,105.25,0.041436113
26655748,104126970,1934-06-16,40.25,105.25,-0.445542
26722173,104386170,1934-07-16,40.25,105.25,-0.0107375365
26788629,104645370,1934-08-16,40.25,105.25,0.14605193
26855067,104904570,1934-09-16,40.25,105.25,-0.049972296
26921498,105163770,1934-10-16,40.25,105.25,0.51460826
26987919,105422970,1934-11-16,40.25,105.25,0.17593938
27054323,105682170,1934-12-16,40.25,105.25,0.019844448
27120627,105941370,1935-01-16,40.25,105.25,0.9535996
27186939,106200570,1935-02-15,40.25,105.25,-0.31788698
27253202,106459770,1935-03-16,40.25,105.25,-0.17286877
27319553,106718970,1935-04-16,40.25,105.25,0.26690713
27385967,106978170,1935-05-16,40.25,105.25,-0.22425288
27452349,107237370,1935-06-16,40.25,105.25,-0.5667603
27518784,107496570,1935-07-16,40.25,105.25,0.71156704
27585240,107755770,1935-08-16,40.25,105.25,0.6453466
27651678,108014970,1935-09-16,40.25,105.25,-0.07194652
27718111,108274170,1935-10-16,40.25,105.25,-0.18136778
27784537,108533370,1935-11-16,40.25,105.25,0.52804136
27850920,108792570,1935-12-16,40.25,105.25,2.5546303
27917219,109051770,1936-01-16,40.25,105.25,0.7034109000000001
27983538,109310970,1936-02-15,40.25,105.25,-0.31788698
28049823,109570170,1936-03-16,40.25,105.25,0.339314
28116172,109829370,1936-04-16,40.25,105.25,1.0092005
28182601,110088570,1936-05-16,40.25,105.25,0.15546581
28249022,110347770,1936-06-16,40.25,105.25,-0.1418607
28315453,110606970,1936-07-16,40.25,105.25,-0.65059656
28381852,110866170,1936-08-16,40.25,105.25,-1.0286886999999998
28448282,111125370,1936-09-16,40.25,105.25,-0.19635615
28514712,111384570,1936-10-16,40.25,105.25,-0.8895427
28581119,111643770,1936-11-16,40.25,105.25,-0.36643952
28647523,111902970,1936-12-16,40.25,105.25,0.019844448
28713832,112162170,1937-01-16,40.25,105.25,0.792492
28780157,112421370,1937-02-15,40.25,105.25,-0.31788698
28846449,112680570,1937-03-16,40.25,105.25,-0.78760505
28912787,112939770,1937-04-16,40.25,105.25,-0.22879739
28979216,113198970,1937-05-16,40.25,105.25,-0.043834098
29045638,113458170,1937-06-16,40.25,105.25,0.84736866
29112039,113717370,1937-07-16,40.25,105.25,0.052837405
29178430,113976570,1937-08-16,40.25,105.25,-0.19955093
29244810,114235770,1937-09-16,40.25,105.25,0.11880075
29311243,114494970,1937-10-16,40.25,105.25,-0.8538207
29377667,114754170,1937-11-16,40.25,105.25,0.17593938
29444045,115013370,1937-12-16,40.25,105.25,-1.0517459999999998
29510354,115272570,1938-01-16,40.25,105.25,0.8757007
29576619,115531770,1938-02-15,40.25,105.25,-0.31788698
29642911,115790970,1938-03-16,40.25,105.25,-0.035020422
29709244,116050170,1938-04-16,40.25,105.25,-0.01861169
29775673,116309370,1938-05-16,40.25,105.25,0.40787497
29842093,116568570,1938-06-16,40.25,105.25,-0.5319871
29908528,116827770,1938-07-16,40.25,105.25,-1.0739251
29974983,117086970,1938-08-16,40.25,105.25,0.1903973
30041404,117346170,1938-09-16,40.25,105.25,-0.12774862
30107837,117605370,1938-10-16,40.25,105.25,-0.8895427
30174260,117864570,1938-11-16,40.25,105.25,-0.9908852
30240645,118123770,1938-12-16,40.25,105.25,0.019844448
30306946,118382970,1939-01-16,40.25,105.25,-1.1175531
30373271,118642170,1939-02-15,40.25,105.25,-0.8811704
30439562,118901370,1939-03-16,40.25,105.25,-1.2192296
30505900,119160570,1939-04-16,40.25,105.25,1.0660733
30572325,119419770,1939-05-16,40.25,105.25,0.15546581
30638730,119678970,1939-06-16,40.25,105.25,-0.46277118
30705159,119938170,1939-07-16,40.25,105.25,1.2276044
30771612,120197370,1939-08-16,40.25,105.25,-0.7584188000000001
30838040,120456570,1939-09-16,40.25,105.25,0.5142554
30904471,120715770,1939-10-16,40.25,105.25,-0.8182696999999999
30970876,120974970,1939-11-16,40.25,105.25,-0.27828220000000004
31037262,121234170,1939-12-16,40.25,105.25,-1.0517459999999998
31103568,121493370,1940-01-16,40.25,105.25,-1.1175531
31169893,121752570,1940-02-15,40.25,105.25,-0.31788698
31236164,122011770,1940-03-16,40.25,105.25,0.657934
31302513,122270970,1940-04-16,40.25,105.25,0.26690713
31368942,122530170,1940-05-16,40.25,105.25,-1.8123554
31435360,122789370,1940-06-16,40.25,105.25,0.94153047
31501795,123048570,1940-07-16,40.25,105.25,-0.8427812
